"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.red"	"p.MM.red"
"Niben261Chr01g0681014.1"	"Rubis-subs-bind domain-containing protein"	"red"	0.216057078959308	0.140235818715627	-0.0390630633289558	0.792085454305237	0.953149991684883	1.58991592609927e-25
"Niben261Chr19g1457016.1"	"Amino-acid permease BAT1-like protein"	"red"	0.243125392584339	0.095890810708807	-0.0228781050705461	0.877336810939305	0.940526380643954	3.35171681020553e-23
"Niben261Chr01g1707001.1"	"Protein IQ-DOMAIN 1"	"red"	0.23705383689349	0.104742937410072	-0.062614142189985	0.672452974919616	0.934462279101034	2.92766762538121e-22
"Niben261Chr17g1512007.1"	"non-specific phospholipase C2"	"red"	0.233265125219514	0.110576507128093	-0.0462437631347471	0.754958507670466	0.926156761554233	4.15989879552996e-21
"Niben261Chr13g0626016.1"	"multiple organellar RNA editing factor 2, chloroplastic-like"	"red"	0.301492636647238	0.0372994013853569	0.0244969526004601	0.868730832330707	0.922761022854844	1.12737680642093e-20
"Niben261Chr03g0124011.1"	"protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 6, chloroplastic"	"red"	0.23534995994632	0.107336497407081	0.0724144625411875	0.624756477110747	0.905277060153673	1.0161420443495e-18
"Niben261Chr04g0246017.1"	"non-specific phospholipase C2"	"red"	0.262168347219877	0.0718434979679789	-0.125543426548273	0.395194932058863	0.90163623737536	2.32407638847677e-18
"Niben261Chr02g0822029.1"	"1,4-alpha-D-glucan glucanohydrolase"	"red"	0.220539907976299	0.131994210163889	0.0500680785905151	0.735400728118554	0.895909514634494	8.01673550233903e-18
"Niben261Chr10g1098003.1"	"TPR_REGION domain-containing protein"	"red"	0.342250947519141	0.0172618767103719	0.0389401198808152	0.792725365388421	0.893080093800777	1.43971518901949e-17
"Niben261Chr16g1198015.1"	"Receptor kinase"	"red"	0.225133452522332	0.123931065318269	0.0147025329465725	0.920993472540413	0.884329781226552	7.97634336963389e-17
"Niben261Chr02g1438003.1"	"cryptochrome-1-like"	"red"	0.240182284468455	0.100106547226316	-0.100878187440989	0.495096606925181	0.883422393869799	9.45077890699841e-17
"Niben261Chr03g0626008.1"	"Carotenoid cleavage dioxygenase 4"	"red"	0.402613033722939	0.00455385686276551	0.072625273927886	0.623746126633778	0.880691705429793	1.56144211833637e-16
"Niben261Chr04g0099001.1"	"Ethylene-responsive transcription factor-like protein"	"red"	0.394656450526803	0.00550586167032814	0.0611610154191942	0.679640781000701	0.878160638301596	2.46007716455877e-16
"Niben261Chr08g0719005.1"	"far upstream element-binding protein 1-like isoform X2"	"red"	0.252711369177324	0.0831070955496804	-0.0021443438044604	0.988459127579385	0.87536855282017	4.01530963601061e-16
"Niben261Chr04g1688007.1"	"dof zinc finger protein DOF5.4-like"	"red"	0.280350321546738	0.0536036908123468	-0.100449315723277	0.496941515974027	0.87159224943917	7.6476132645654e-16
"Niben261Chr01g0723010.1"	"zinc transporter 1-like"	"red"	0.251426992448125	0.0847379999144947	0.091739155486053	0.535163304440485	0.868060782341569	1.37192676048131e-15
"Niben261Chr18g1408008.1"	"far upstream element-binding protein 1-like isoform X2"	"red"	0.209969809946331	0.152031867397233	-0.0255986199630865	0.862882768176595	0.866174669654529	1.86172756152125e-15
"Niben261Chr03g0674006.1"	"LRR receptor-like serine/threonine-protein kinase FEI 2"	"red"	0.25484094411587	0.080457253979504	-0.0733472112701669	0.62029130702141	0.866039151512623	1.9026768788929e-15
"Niben261Chr19g1041017.1"	"3-ketoacyl-CoA synthase"	"red"	0.306473622118256	0.0341227928180437	-0.0371152869220397	0.802239136499589	0.862674746341434	3.24120514592387e-15
"Niben261Chr15g0588007.1"	"Glucan endo-1,3-beta-D-glucosidase"	"red"	0.220214879209897	0.132579282386567	0.0272819036629624	0.853961383993776	0.861241653811767	4.04950157490784e-15
"Niben261Chr03g0101007.1"	"Unknown protein"	"red"	0.232165015337027	0.11231599972578	-0.0739605810913635	0.617362384523973	0.860998820045894	4.20416385624526e-15
"Niben261Chr19g0666003.1"	"Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha"	"red"	0.232640771883259	0.111561191285838	-0.0111713247185129	0.939928813252441	0.860485638340126	4.54966600665947e-15
"Niben261Chr01g0686006.1"	"DCD domain-containing protein NRP-B"	"red"	0.227559775969209	0.11982499391116	0.0161690693333688	0.913141599746066	0.858291315353512	6.35511700443422e-15
"Niben261Chr10g0437012.1"	"Methyltransferase"	"red"	0.432247682818383	0.00215465778014716	0.172836329549524	0.240095963593706	0.857553746061479	7.10176190994612e-15
"Niben261Chr03g0267010.1"	"Btz domain-containing protein"	"red"	0.416095711834855	0.00326659171574328	0.147498559773662	0.317093480577912	0.84910720891913	2.42831673361136e-14
"Niben261Chr07g0693002.1"	"serine/threonine-protein kinase 38-like"	"red"	0.218607320538252	0.135501573426613	-0.00614503277324798	0.966935434589808	0.848636168711261	2.59490404805658e-14
"Niben261Chr19g0630010.1"	"Bifunctional nuclease 2"	"red"	0.23229550929318	0.112108578969032	0.0722656696265501	0.62547000412515	0.84718712642816	3.17804069284563e-14
"Niben261Chr17g0086003.1"	"RPM1-interacting protein 4-like"	"red"	0.240323178660385	0.0999015266483646	0.0330751894390162	0.823401447900205	0.845166471780535	4.20167260115754e-14
"Niben261Chr11g0547008.1"	"DUF4091 domain-containing protein"	"red"	0.271577946907183	0.0618718213253528	0.130223198785243	0.377671017611104	0.844987710966637	4.3059292916226e-14
"Niben261Chr14g0745010.1"	"DUF676 domain-containing protein"	"red"	0.203774914049564	0.164770366585347	-0.0237037301579661	0.872945877810028	0.84364472710971	5.17145235174861e-14
"Niben261Chr11g1129013.1"	"Terpene cyclase/mutase family member"	"red"	0.239478808659112	0.101135058611261	-0.100165541763645	0.498164191790573	0.840458117302688	7.93256276547151e-14
"Niben261Chr16g0011006.1"	"ELMO domain-containing protein A"	"red"	0.294327233421855	0.0422923899663566	0.0810977612196133	0.583722693708312	0.840256832927734	8.1472948839515e-14
"Niben261Chr19g0550005.1"	"Mads-box protein svp"	"red"	0.290513090760949	0.0451653838452155	0.043412921443454	0.769534857656023	0.837097134573511	1.23321601037699e-13
"Niben261Chr16g0496003.1"	"FHA domain-containing protein"	"red"	0.201480226902711	0.169680779383446	-0.00157637700247412	0.991515797155659	0.836824224981216	1.27764083042702e-13
"Niben261Chr09g1088010.1"	"Aspartyl protease family protein 2"	"red"	0.254710015660218	0.0806182304671985	-0.0668619135007134	0.651608976308974	0.836581957691912	1.31834519796169e-13
"Niben261Chr10g0314011.1"	"Aspartyl protease family protein 2"	"red"	0.300638559312415	0.0378677849865104	0.140597641655373	0.340509962939625	0.827048034688398	4.35630263456007e-13
"Niben261Chr15g0387001.1"	"ATP:AMP phosphotransferase"	"red"	0.262723601970475	0.0712217737640227	0.0966764887032258	0.513322759514803	0.822193513140665	7.78856471619381e-13
"Niben261Chr19g0470020.1"	"Squalene monooxygenase"	"red"	0.232642789112473	0.111557999124358	-0.147677644613874	0.316499736123796	0.819942089473407	1.01371199966101e-12
"Niben261Chr11g0929005.1"	"C2 NT-type domain-containing protein"	"red"	0.28003492954539	0.0538846383604844	0.0483362253636427	0.744237828364988	0.819475988130589	1.07006979384011e-12
"Niben261Chr08g0329011.1"	"Arabinose 5-phosphate isomerase KdsD"	"red"	0.306083451780954	0.034363269991622	-0.0458907283580425	0.75677184369668	0.818687015099305	1.17228637513472e-12
"Niben261Chr03g0920006.1"	"microtubule-associated protein 70-2-like"	"red"	0.256003701876445	0.0790386955774705	0.000932390273525194	0.994981732211727	0.816395837033816	1.52412246017421e-12
"Niben261Chr16g0357004.1"	"beta-glucosidase 18-like"	"red"	0.302592652793089	0.036577710088484	0.120508740443143	0.414568403058511	0.813702783710261	2.06536449774222e-12
"Niben261Chr02g0505014.1"	"DUF3082 domain-containing protein"	"red"	0.294792350573989	0.0419525042567361	0.110375728058493	0.455163523257812	0.812160571691843	2.45257879786832e-12
"Niben261Chr14g0151004.1"	"Zinc finger ccch domain-containing protein 13"	"red"	0.323074696138489	0.0251061868778277	-0.0228941540832462	0.877251422027259	0.810328911947544	3.00174479880396e-12
"Niben261Chr02g0552001.1"	"vicianin hydrolase-like"	"red"	0.276785647273865	0.0568488030044146	0.0642986966089906	0.664156546373423	0.810033628345019	3.10049979262688e-12
"Niben261Chr11g1413017.1"	"beta-glucosidase BoGH3B-like"	"red"	0.206619932274232	0.158826983108005	-0.158184956621144	0.282899957379322	0.810033144712507	3.10066403280709e-12
"Niben261Chr13g1186014.1"	"PPM-type phosphatase domain-containing protein"	"red"	0.237517476883619	0.104045602108474	0.0175463421102698	0.905775090494282	0.809705732812176	3.21376200693546e-12
"Niben261Chr13g0955007.1"	"Kinesin-like protein"	"red"	0.247823650044767	0.0894473379294812	0.00591858663151871	0.968153235031846	0.805093182243891	5.28545981792546e-12
"Niben261Chr06g1137004.1"	"Phosphoglycerate mutase"	"red"	0.202689798428977	0.16707935569652	-0.0168160002436136	0.909680475158212	0.800032820596237	8.98752713102123e-12
