"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.black"	"p.MM.black"
"Niben261Chr16g1175009.1"	"4-coumarate--CoA ligase"	"black"	0.295924470832574	0.0411345374534484	0.133268033444667	0.366522211379303	0.92054928098124	2.10656428304418e-20
"Niben261Chr14g1244002.1"	"Homeobox-leucine zipper protein"	"black"	0.262371288074679	0.0716157665657325	0.211204973935017	0.149581172746176	0.876481615390955	3.30760944787553e-16
"Niben261Chr11g0904005.1"	"Fn3_like domain-containing protein"	"black"	0.280454376248353	0.053511259954698	0.184894724500145	0.208354794057969	0.875996853188917	3.59986658571319e-16
"Niben261Chr01g1080010.1"	"Chr5:3644655-3646991 FORWARD LENGTH=366"	"black"	0.237130941029258	0.104626721292024	0.134148694324906	0.363335022447749	0.867601853619028	1.47835261064452e-15
"Niben261Chr07g1381002.1"	"Peroxidase"	"black"	0.349351840507526	0.0149408548016457	0.310295140735621	0.0318401294498101	0.837649723821965	1.14770987719032e-13
"Niben261Chr06g0708005.1"	"serine/threonine-protein kinase TIO"	"black"	0.21121518426618	0.149561036573457	0.049288278093611	0.739375691142222	0.834744184493459	1.66968482975295e-13
"Niben261Chr19g0589008.1"	"PTP-1"	"black"	0.428021242976491	0.00240721880363652	0.412079565750748	0.00361148543572072	0.832754454973742	2.14942592618778e-13
"Niben261Chr03g0462003.1"	"Homeobox-leucine zipper protein hdg5"	"black"	0.365898175154763	0.0105408374429527	0.11273637347818	0.445517721460903	0.813488821389065	2.1153934141972e-12
"Niben261Chr13g0851015.1"	"patellin-3-like"	"black"	0.277399792399661	0.0562787157989948	0.160809311294669	0.274887287373375	0.81241908108587	2.38320619556454e-12
"Niben261Chr08g1372005.1"	"patellin-3-like"	"black"	0.341308103456571	0.0175919105264237	0.241334205549537	0.098439826014071	0.810353216728304	2.99375027974662e-12
"Niben261Chr08g0691003.1"	"O-methyltransferase"	"black"	0.36672467757725	0.0103539547247268	0.427315568901015	0.00245184795552588	0.808752612205585	3.56564121481224e-12
"Niben261Chr14g0670008.1"	"Chr3:20547920-20548570 FORWARD LENGTH=216"	"black"	0.287235469322001	0.0477595439336647	0.326456996354132	0.0235384658206428	0.807952613544683	3.88882944474505e-12
