TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0000003", "reproduction", 0.777955601761151, 7.5936344871325, -4.64959657398579, 5.27492873042265, -2.4154250050305, 1, 0, null, False
"GO:0010150", "leaf senescence", 0.00589457314285422, 4.84604785625709, 5.80676135476088, 3.15472820744016, -14.530680765164, 0.926199908563391, 0, null, False
"GO:0090436", "leaf pavement cell development", 0.00021479874101501, null, null, 1.72427586960079, -1.80380095992488, 0.931001835973245, 0.76068389, 10150, True
"GO:0009901", "anther dehiscence", 0.00135075362138285, null, null, 2.51587384371168, -2.28181556459854, 0.914466670901827, 0.79308502, 10150, True
"GO:0010227", "floral organ abscission", 0.00207363399979875, null, null, 2.70156798505593, -1.96584668950569, 0.912635592318524, 0.82012984, 10150, True
"GO:0080187", "floral organ senescence", 0.000136314585644141, null, null, 1.53147891704226, -2.84008123810253, 0.922680726345517, 0.8363448, 10150, True
"GO:0009908", "flower development", 0.0279981897423026, null, null, 3.83116563390944, -1.37241484052079, 0.908246963234977, 0.85919481, 10150, True
"GO:0048366", "leaf development", 0.0171756377911618, null, null, 3.61898892036493, -1.75387302490254, 0.923823763576021, 0.90263761, 10150, True
"GO:0030242", "autophagy of peroxisome", 0.0104838308595403, -4.01214686632087, -5.74219419131116, 3.40466270087372, -3.5409114118461, 0.878871352953141, 0, null, False
"GO:0000045", "autophagosome assembly", 0.0444261626849314, -3.86291693293004, -3.7569487032945, 4.03165079355126, -5.71763112038451, 0.802841427658035, 0.71615957, 30242, True
"GO:0034727", "piecemeal microautophagy of the nucleus", 0.0150689578312069, null, null, 3.56217386336465, -4.2493036859878, 0.875145659930485, 0.73188804, 30242, True
"GO:0044804", "autophagy of nucleus", 0.0194847242570731, null, null, 3.67375793654958, -1.74902495716315, 0.874698094080828, 0.74345404, 30242, True
"GO:0000422", "autophagy of mitochondrion", 0.0260402166030504, null, null, 3.7996850909091, -5.58756755678058, 0.807670990996641, 0.75695297, 30242, True
"GO:0051228", "mitotic spindle disassembly", 0.00274694543798042, null, null, 2.8234742291703, -2.12433690565422, 0.914325101134931, 0.81924167, 30242, True
"GO:0097352", "autophagosome maturation", 0.00802190682790672, null, null, 3.28847280059978, -2.12454681357551, 0.825863862751581, 0.83336699, 30242, True
"GO:0061709", "reticulophagy", 0.00782776181198931, null, null, 3.27783833300205, -2.12433690565422, 0.81995378015377, 0.86768721, 30242, True
"GO:0006914", "autophagy", 0.233597761598843, null, null, 4.75244796865324, -2.98809888581816, 0.854755791712095, 0.87686947, 30242, True
"GO:0034497", "protein localization to phagophore assembly site", 0.00636960882009895, null, null, 3.18836592606315, -3.5642614559289, 0.766965556389992, 0.88217925, 30242, True
"GO:0044805", "late nucleophagy", 0.00400269192391432, null, null, 2.98677173426624, -2.83258915732823, 0.883513603353668, 0.9026227, 30242, True
"GO:0000423", "mitophagy", 0.00542779895564852, null, null, 3.11892575282578, -1.41615464005108, 0.820200224333666, 0.91300498, 30242, True
"GO:1905037", "autophagosome organization", 0.0466650264855109, null, null, 4.05300157040031, -2.83814874364679, 0.808998874392405, 0.92872118, 30242, True
"GO:0040007", "growth", 0.117912116582182, 7.25647332735677, -5.01702617280868, 4.45554526145638, -1.42350323118451, 1, 0, null, False
"GO:2000022", "regulation of jasmonic acid mediated signaling pathway", 0.00645222372048934, 1.36509234249475, -6.80200265689783, 3.19395897801919, -8.65233690730102, 0.885962844724918, 0, null, False
"GO:0090332", "stomatal closure", 0.000693965163279263, -0.425393646299909, 1.11477191809869, 2.22788670461367, -4.75577529700245, 0.990225579769978, 0.00494029, null, False
"GO:1901527", "abscisic acid-activated signaling pathway involved in stomatal movement", 0.000111530115527024, null, null, 1.44715803134222, -1.50852231635524, 0.812577163513703, 0.83667631, 90332, True
"GO:0048102", "autophagic cell death", 0.00171012843808104, 0.77565477242686, 1.33073412154267, 2.61804809671209, -1.41615464005108, 0.99138803762155, 0.00516153, null, False
"GO:0010118", "stomatal movement", 0.00224712529061857, 7.92686146185171, -4.07237986841056, 2.73639650227664, -2.4679366546297, 0.994318316197232, 0.00523248, null, False
"GO:0071456", "cellular response to hypoxia", 0.0167790862692879, 6.78173868500233, 0.881923827691202, 3.60884682232641, -37.759616134058, 0.813863265281805, 0.00582163, null, False
"GO:0001666", "response to hypoxia", 0.0370486520800697, null, null, 3.95279244304409, -1.42994960583452, 0.843650484333385, 0.94667773, 71456, True
"GO:0016192", "vesicle-mediated transport", 1.40900125690309, -3.55484636731503, 5.04360042155025, 5.53288426583489, -6.21470344507637, 0.937116362676937, 0.00802391, null, False
"GO:0009664", "plant-type cell wall organization", 0.0328063769450233, 1.21753418099146, 6.45290048827114, 3.89998456254939, -4.60042774267867, 0.923080098379231, 0.00846185, null, False
