Annotated	Significant	Expected	DEG	Term
GO:0035999	14	5	1,95	5	tetrahydrofolate interconversion
GO:0045454	36	18	5,02	18	cell redox homeostasis
GO:0010387	2	2	0,28	2	COP9 signalosome assembly
GO:0030150	24	9	3,34	9	protein import into mitochondrial matrix
GO:0042372	6	3	0,84	3	phylloquinone biosynthetic process
GO:0010928	17	5	2,37	5	regulation of auxin mediated signaling pathway
GO:0010917	2	2	0,28	2	negative regulation of mitochondrial membrane potential
GO:0010940	2	2	0,28	2	positive regulation of necrotic cell death
GO:0019243	5	3	0,7	3	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
GO:0000045	25	12	3,48	12	autophagosome assembly
GO:0034620	21	8	2,93	8	cellular response to unfolded protein
GO:0010499	22	11	3,07	11	proteasomal ubiquitin-independent protein catabolic process
GO:0034605	18	11	2,51	11	cellular response to heat
GO:0008610	460	98	64,11	98	lipid biosynthetic process
GO:0032955	2	2	0,28	2	regulation of division septum assembly
GO:0032981	18	9	2,51	9	mitochondrial respiratory chain complex I assembly
GO:0007205	8	4	1,11	4	protein kinase C-activating G protein-coupled receptor signaling pathway
GO:0006367	38	10	5,3	10	transcription initiation from RNA polymerase II promoter
GO:0045116	8	5	1,11	5	protein neddylation
GO:0016226	29	18	4,04	18	iron-sulfur cluster assembly
GO:0006352	69	18	9,62	18	DNA-templated transcription, initiation
GO:0006388	5	3	0,7	3	tRNA splicing, via endonucleolytic cleavage and ligation
GO:0061615	14	5	1,95	5	glycolytic process through fructose-6-phosphate
GO:0009423	13	6	1,81	6	chorismate biosynthetic process
GO:0060776	2	2	0,28	2	simple leaf morphogenesis
GO:0009415	78	18	10,87	18	response to water
GO:0010193	12	6	1,67	6	response to ozone
GO:0015995	28	10	3,9	10	chlorophyll biosynthetic process
GO:0046506	2	2	0,28	2	sulfolipid biosynthetic process
GO:0009408	74	30	10,31	30	response to heat
GO:0010150	18	6	2,51	6	leaf senescence
GO:0051085	34	9	4,74	9	chaperone cofactor-dependent protein refolding
GO:0015976	6	3	0,84	3	carbon utilization
GO:0010121	2	2	0,28	2	arginine catabolic process to proline via ornithine
GO:0050790	585	80	81,53	80	regulation of catalytic activity
GO:0015914	34	10	4,74	10	phospholipid transport
GO:0006457	214	57	29,82	57	protein folding
GO:0010136	2	2	0,28	2	ureide catabolic process
GO:0015937	9	4	1,25	4	coenzyme A biosynthetic process
GO:0090378	2	2	0,28	2	seed trichome elongation
GO:0006470	310	57	43,2	57	protein dephosphorylation
GO:0046037	6	4	0,84	4	GMP metabolic process
GO:0055129	5	3	0,7	3	L-proline biosynthetic process
GO:0055114	2597	416	361,94	416	oxidation-reduction process
GO:0006415	23	8	3,21	8	translational termination
GO:0070525	5	4	0,7	4	tRNA threonylcarbamoyladenosine metabolic process
GO:0000395	2	2	0,28	2	mRNA 5'-splice site recognition
GO:0000398	164	33	22,86	33	mRNA splicing, via spliceosome
GO:0010224	27	10	3,76	10	response to UV-B
GO:0106035	5	4	0,7	4	protein maturation by [4Fe-4S] cluster transfer
GO:0042218	7	4	0,98	4	1-aminocyclopropane-1-carboxylate biosynthetic process
GO:0006165	93	19	12,96	19	nucleoside diphosphate phosphorylation
GO:0045717	6	3	0,84	3	negative regulation of fatty acid biosynthetic process
GO:0000373	17	7	2,37	7	Group II intron splicing
GO:0033528	2	2	0,28	2	S-methylmethionine cycle
GO:0010236	2	2	0,28	2	plastoquinone biosynthetic process
GO:0006189	13	5	1,81	5	'de novo' IMP biosynthetic process
GO:0019544	2	2	0,28	2	arginine catabolic process to glutamate
