Annotated	Significant	Expected	DEG	Term
GO:0030151	6	3	0,82	3	molybdenum ion binding
GO:0004659	27	10	3,7	10	prenyltransferase activity
GO:0004143	8	4	1,1	4	diacylglycerol kinase activity
GO:0016531	3	3	0,41	3	copper chaperone activity
GO:0030170	144	38	19,74	38	pyridoxal phosphate binding
GO:0036381	2	2	0,27	2	pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity
GO:0004615	6	3	0,82	3	phosphomannomutase activity
GO:0003727	23	7	3,15	7	single-stranded RNA binding
GO:0004107	2	2	0,27	2	chorismate synthase activity
GO:0000309	2	2	0,27	2	nicotinamide-nucleotide adenylyltransferase activity
GO:0000978	53	14	7,27	14	RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0003747	14	8	1,92	8	translation release factor activity
GO:0030627	2	2	0,27	2	pre-mRNA 5'-splice site binding
GO:0016161	8	4	1,1	4	beta-amylase activity
GO:0005315	15	5	2,06	5	inorganic phosphate transmembrane transporter activity
GO:0016151	4	3	0,55	3	nickel cation binding
GO:0004298	28	12	3,84	12	threonine-type endopeptidase activity
GO:0008898	2	2	0,27	2	S-adenosylmethionine-homocysteine S-methyltransferase activity
GO:0004602	9	4	1,23	4	glutathione peroxidase activity
GO:0019900	53	11	7,27	11	kinase binding
GO:0070122	19	7	2,6	7	isopeptidase activity
GO:0008379	6	4	0,82	4	thioredoxin peroxidase activity
GO:0016656	6	3	0,82	3	monodehydroascorbate reductase (NADH) activity
GO:0070006	14	6	1,92	6	metalloaminopeptidase activity
GO:0016149	8	5	1,1	5	translation release factor activity, codon specific
GO:0051536	222	53	30,43	53	iron-sulfur cluster binding
GO:0016671	25	16	3,43	16	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
GO:0051537	55	19	7,54	19	2 iron, 2 sulfur cluster binding
GO:0070628	6	3	0,82	3	proteasome binding
GO:0004222	60	17	8,22	17	metalloendopeptidase activity
GO:0003868	2	2	0,27	2	4-hydroxyphenylpyruvate dioxygenase activity
GO:0051082	135	33	18,51	33	unfolded protein binding
GO:0051087	42	13	5,76	13	chaperone binding
GO:0003857	9	4	1,23	4	3-hydroxyacyl-CoA dehydrogenase activity
GO:0036456	4	3	0,55	3	L-methionine-(S)-S-oxide reductase activity
GO:0003872	14	5	1,92	5	6-phosphofructokinase activity
GO:0003824	12151	1797	1665,62	1797	catalytic activity
GO:0044183	21	7	2,88	7	protein folding chaperone
GO:0003950	15	5	2,06	5	NAD+ ADP-ribosyltransferase activity
