Annotated	Significant	Expected	DEG	Term
GO:0030151	6	3	0,84	3	molybdenum ion binding
GO:0016531	3	3	0,42	3	copper chaperone activity
GO:0030170	144	30	20,12	30	pyridoxal phosphate binding
GO:0004615	6	3	0,84	3	phosphomannomutase activity
GO:0003727	23	6	3,21	6	single-stranded RNA binding
GO:0003712	136	20	19	20	transcription coregulator activity
GO:0004107	2	2	0,28	2	chorismate synthase activity
GO:0000978	53	13	7,4	13	RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0003747	14	7	1,96	7	translation release factor activity
GO:0030627	2	2	0,28	2	pre-mRNA 5'-splice site binding
GO:0016161	8	4	1,12	4	beta-amylase activity
GO:0016151	4	3	0,56	3	nickel cation binding
GO:0004298	28	10	3,91	10	threonine-type endopeptidase activity
GO:0008898	2	2	0,28	2	S-adenosylmethionine-homocysteine S-methyltransferase activity
GO:0004602	9	4	1,26	4	glutathione peroxidase activity
GO:0019900	53	14	7,4	14	kinase binding
GO:0070122	19	7	2,65	7	isopeptidase activity
GO:0019905	9	4	1,26	4	syntaxin binding
GO:0008379	6	3	0,84	3	thioredoxin peroxidase activity
GO:0016656	6	3	0,84	3	monodehydroascorbate reductase (NADH) activity
GO:0070006	14	6	1,96	6	metalloaminopeptidase activity
GO:0004252	168	32	23,47	32	serine-type endopeptidase activity
GO:0016149	8	4	1,12	4	translation release factor activity, codon specific
GO:0051536	222	52	31,01	52	iron-sulfur cluster binding
GO:0016671	25	16	3,49	16	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
GO:0051537	55	16	7,68	16	2 iron, 2 sulfur cluster binding
GO:0004222	60	19	8,38	19	metalloendopeptidase activity
GO:0003868	2	2	0,28	2	4-hydroxyphenylpyruvate dioxygenase activity
GO:0051082	135	40	18,86	40	unfolded protein binding
GO:0051087	42	18	5,87	18	chaperone binding
GO:0003857	9	4	1,26	4	3-hydroxyacyl-CoA dehydrogenase activity
GO:0003883	8	4	1,12	4	CTP synthase activity
GO:0034338	4	3	0,56	3	short-chain carboxylesterase activity
GO:0036456	4	3	0,56	3	L-methionine-(S)-S-oxide reductase activity
GO:1990381	2	2	0,28	2	ubiquitin-specific protease binding
GO:0044183	21	7	2,93	7	protein folding chaperone
GO:0005483	4	3	0,56	3	soluble NSF attachment protein activity
GO:0102229	8	4	1,12	4	amylopectin maltohydrolase activity
GO:0005471	12	5	1,68	5	ATP:ADP antiporter activity
