Annotated	Significant	Expected	DEG	Term
GO:0033500	18	10	3,37	10	carbohydrate homeostasis
GO:0015995	28	11	5,25	11	chlorophyll biosynthetic process
GO:0045489	29	12	5,43	12	pectin biosynthetic process
GO:0019264	7	4	1,31	4	glycine biosynthetic process from serine
GO:0015977	22	10	4,12	10	carbon fixation
GO:1901962	3	3	0,56	3	S-adenosyl-L-methionine transmembrane transport
GO:0019277	2	2	0,37	2	UDP-N-acetylgalactosamine biosynthetic process
GO:0006865	87	21	16,3	21	amino acid transport
GO:0006857	47	15	8,81	15	oligopeptide transport
GO:0034220	621	117	116,36	117	ion transmembrane transport
GO:0006817	282	77	52,84	77	phosphate ion transport
GO:0070919	6	4	1,12	4	production of siRNA involved in chromatin silencing by small RNA
GO:0035066	7	4	1,31	4	positive regulation of histone acetylation
GO:0010411	43	17	8,06	17	xyloglucan metabolic process
GO:0005980	4	3	0,75	3	glycogen catabolic process
GO:0005986	13	6	2,44	6	sucrose biosynthetic process
GO:0006564	5	3	0,94	3	L-serine biosynthetic process
GO:0006565	7	4	1,31	4	L-serine catabolic process
GO:0009263	9	5	1,69	5	deoxyribonucleotide biosynthetic process
GO:0005975	1113	306	208,54	306	carbohydrate metabolic process
GO:0005977	19	11	3,56	11	glycogen metabolic process
GO:0051513	4	3	0,75	3	regulation of monopolar cell growth
GO:0005978	11	5	2,06	5	glycogen biosynthetic process
GO:0006556	5	3	0,94	3	S-adenosylmethionine biosynthetic process
GO:0006541	49	13	9,18	13	glutamine metabolic process
GO:0006538	9	5	1,69	5	glutamate catabolic process
GO:0009234	4	4	0,75	4	menaquinone biosynthetic process
GO:0035999	14	8	2,62	8	tetrahydrofolate interconversion
GO:0007142	5	4	0,94	4	male meiosis II
GO:0007131	33	14	6,18	14	reciprocal meiotic recombination
GO:0120142	2	2	0,37	2	positive regulation of ecdysone receptor-mediated signaling pathway
GO:0042550	2	2	0,37	2	photosystem I stabilization
GO:0006694	54	21	10,12	21	steroid biosynthetic process
GO:0000463	18	8	3,37	8	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000466	18	10	3,37	10	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000467	5	3	0,94	3	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0019853	11	6	2,06	6	L-ascorbic acid biosynthetic process
GO:0000469	23	9	4,31	9	cleavage involved in rRNA processing
GO:0042546	136	39	25,48	39	cell wall biogenesis
GO:0009765	36	26	6,75	26	photosynthesis, light harvesting
GO:0010133	2	2	0,37	2	proline catabolic process to glutamate
GO:0009768	22	18	4,12	18	photosynthesis, light harvesting in photosystem I
GO:0019827	8	4	1,5	4	stem cell population maintenance
GO:0009785	7	4	1,31	4	blue light signaling pathway
GO:0009773	8	5	1,5	5	photosynthetic electron transport in photosystem I
GO:0009718	9	6	1,69	6	anthocyanin-containing compound biosynthetic process
GO:0009734	123	41	23,05	41	auxin-activated signaling pathway
GO:0009735	40	16	7,49	16	response to cytokinin
GO:0009736	37	13	6,93	13	cytokinin-activated signaling pathway
GO:0001678	11	6	2,06	6	cellular glucose homeostasis
GO:0000160	152	44	28,48	44	phosphorelay signal transduction system
GO:0000165	28	10	5,25	10	MAPK cascade
GO:0071555	320	94	59,96	94	cell wall organization
GO:0010212	19	8	3,56	8	response to ionizing radiation
GO:0010233	5	4	0,94	4	phloem transport
GO:0009873	89	26	16,68	26	ethylene-activated signaling pathway
GO:0008360	28	15	5,25	15	regulation of cell shape
GO:1904482	7	4	1,31	4	cellular response to tetrahydrofolate
GO:0009833	14	8	2,62	8	plant-type primary cell wall biogenesis
GO:0051026	4	3	0,75	3	chiasma assembly
