Annotated	Significant	Expected	Term	pval	Enrichment
GO:0035335	47	6	1.94	peptidyl-tyrosine dephosphorylation	0.0124974483727025	1.77175782152298
GO:0009693	20	5	0.83	ethylene biosynthetic process	0.00110843552805211	3.46969240048251
GO:0009696	37	5	1.53	salicylic acid metabolic process	0.0117388640279188	1.87550940566622
GO:0015031	1238	78	51.21	protein transport	0.000841524954782146	0.874429748748419
GO:0009698	212	13	8.77	phenylpropanoid metabolic process	0.00854989892677919	0.851056626533446
GO:0016126	43	5	1.78	sterol biosynthetic process	0.0315212400773452	1.61381041882907
GO:0006101	5	4	0.21	citrate metabolic process	1.41014515781672e-05	11.103015681544
GO:0032968	38	5	1.57	positive regulation of transcription elongation from RNA polymerase II promoter	0.0194397738378499	1.82615389499079
GO:0120188	1	1	0.04	regulation of bile acid secretion	0.0413672727272726	13.87876960193
GO:0055114	3664	168	151.57	oxidation-reduction process	0.0466433317343183	0.63636279834177
GO:0009620	126	16	5.21	response to fungus	0.00430174727631398	1.76238344151493
GO:0050860	1	1	0.04	negative regulation of T cell receptor signaling pathway	0.0413672727272726	13.87876960193
GO:0019375	6	2	0.25	galactolipid biosynthetic process	0.0229539781181395	4.62625653397668
GO:0015867	87	12	3.6	ATP transport	0.000655285228234217	1.91431304854207
GO:0009607	418	38	17.29	response to biotic stimulus	0.00214221990513955	1.26170632744819
GO:0006952	893	59	36.94	defense response	0.00577705519951802	0.916962381314526
GO:0048544	199	18	8.23	recognition of pollen	0.00163348169295774	1.25536609464694
GO:0060236	15	3	0.62	regulation of mitotic spindle organization	0.0221393293449336	2.77575392038601
GO:0034587	1	1	0.04	piRNA metabolic process	0.0413672727272726	13.87876960193
GO:0050832	80	9	3.31	defense response to fungus	0.0275291801853209	1.56136158021713
GO:0046777	96	10	3.97	protein autophosphorylation	0.0063918497472593	1.44570516686771
GO:0046710	2	2	0.08	GDP metabolic process	0.00171009758961583	13.87876960193
GO:0046740	4	2	0.17	transport of virus in host, cell to cell	0.00970416168987234	6.93938480096502
GO:0006099	84	9	3.47	tricarboxylic acid cycle	0.00788483901969438	1.48701102877822
GO:0006904	20	3	0.83	vesicle docking involved in exocytosis	0.0476323835959469	2.08181544028951
GO:0030001	546	31	22.59	metal ion transport	0.0312516266118552	0.787988750292731
GO:0038183	1	1	0.04	bile acid signaling pathway	0.0413672727272726	13.87876960193
GO:0019427	4	3	0.17	acetyl-CoA biosynthetic process from acetate	0.000273837099240389	10.4090772014475
GO:0006075	22	5	0.91	(1->3)-beta-D-glucan biosynthetic process	0.00175759209685713	3.15426581862046
GO:0090378	3	2	0.12	seed trichome elongation	0.00498899939455636	9.25251306795336
GO:0010190	4	2	0.17	cytochrome b6f complex assembly	0.00970416168987234	6.93938480096502
GO:0031667	114	10	4.72	response to nutrient levels	0.041241025042321	1.21743592999386
GO:0006044	6	2	0.25	N-acetylglucosamine metabolic process	0.0229539781181395	4.62625653397668
GO:0045337	7	2	0.29	farnesyl diphosphate biosynthetic process	0.0312630841634237	3.96536274340858
GO:0007165	1437	104	59.44	signal transduction	0.0190740217236399	1.00444818274233
GO:2000033	4	2	0.17	regulation of seed dormancy process	0.00970416168987234	6.93938480096502
GO:1904486	1	1	0.04	response to 17alpha-ethynylestradiol	0.0413672727272726	13.87876960193
GO:0006749	60	9	2.48	glutathione metabolic process	0.000762952644290333	2.08181544028951
GO:0007186	40	12	1.65	G protein-coupled receptor signaling pathway	0.000154306903792291	4.16363088057901
GO:0055085	2531	119	104.7	transmembrane transport	0.0284435791997134	0.652537962319113
GO:0007178	19	3	0.79	transmembrane receptor protein serine/threonine kinase signaling pathway	0.0417338164057232	2.19138467398895
GO:0006002	28	6	1.16	fructose 6-phosphate metabolic process	0.000852931679567768	2.97402205755644
GO:0008360	47	6	1.94	regulation of cell shape	0.0124974483727025	1.77175782152298
GO:0090630	33	7	1.37	activation of GTPase activity	0.000338799097063894	2.94398143071243
GO:0010187	3	2	0.12	negative regulation of seed germination	0.00498899939455636	9.25251306795336
GO:0016042	186	17	7.69	lipid catabolic process	0.00120962345912484	1.26848969480006
GO:0016036	31	4	1.28	cellular response to phosphate starvation	0.0377476992728562	1.7908089808942
GO:0140331	1	1	0.04	aminophospholipid translocation	0.0413672727272726	13.87876960193
GO:0008610	699	46	28.92	lipid biosynthetic process	0.0145531544754277	0.913338199840889
GO:0045471	1	1	0.04	response to ethanol	0.0413672727272726	13.87876960193
GO:0061615	24	5	0.99	glycolytic process through fructose-6-phosphate	0.0026487101130429	2.89141033373542
GO:0042939	1	1	0.04	tripeptide transport	0.0413672727272726	13.87876960193
GO:0006869	189	22	7.82	lipid transport	0.0135912890688058	1.61551815472201
GO:0009107	7	2	0.29	lipoate biosynthetic process	0.0312630841634237	3.96536274340858
GO:0120009	22	4	0.91	intermembrane lipid transfer	0.0117495532318531	2.52341265489637
GO:0006886	730	41	30.2	intracellular protein transport	0.000318592675807506	0.779492539286481
GO:0010264	4	2	0.17	myo-inositol hexakisphosphate biosynthetic process	0.00970416168987234	6.93938480096502
GO:0010266	2	2	0.08	response to vitamin B1	0.00171009758961583	13.87876960193
GO:0006833	8	2	0.33	water transport	0.0405565111005948	3.46969240048251
GO:0046513	8	2	0.33	ceramide biosynthetic process	0.0405565111005948	3.46969240048251
GO:1902358	31	4	1.28	sulfate transmembrane transport	0.0377476992728562	1.7908089808942
GO:0009920	3	2	0.12	cell plate formation involved in plant-type cell wall biogenesis	0.00498899939455636	9.25251306795336
GO:0009249	12	3	0.5	protein lipoylation	0.0117394816880084	3.46969240048251
GO:0019287	7	4	0.29	isopentenyl diphosphate biosynthetic process, mevalonate pathway	9.23151605299829e-05	7.93072548681716
GO:0007205	15	5	0.62	protein kinase C-activating G protein-coupled receptor signaling pathway	0.000255140934391682	4.62625653397668
GO:0009938	3	2	0.12	negative regulation of gibberellic acid mediated signaling pathway	0.00498899939455636	9.25251306795336
GO:0000023	1	1	0.04	maltose metabolic process	0.0413672727272726	13.87876960193
GO:0046686	26	4	1.08	response to cadmium ion	0.0210802705091723	2.13519532337385
GO:0016567	901	49	37.27	protein ubiquitination	0.0234715884957671	0.754783252491201
GO:0009753	71	9	2.94	response to jasmonic acid	0.00110183164544188	1.75928065376578
GO:0071365	208	14	8.6	cellular response to auxin stimulus	0.041237415125263	0.93414795397606
GO:0007034	102	8	4.22	vacuolar transport	0.0424500238054218	1.08853094917098
GO:0009723	216	10	8.94	response to ethylene	0.00111935827392049	0.642535629718983
GO:0009718	16	3	0.66	anthocyanin-containing compound biosynthetic process	0.0264268938720929	2.60226930036188
GO:0048268	20	3	0.83	clathrin coat assembly	0.0476323835959469	2.08181544028951
GO:0009742	54	8	2.23	brassinosteroid mediated signaling pathway	0.00160834678665071	2.05611401510075
GO:0048281	4	3	0.17	inflorescence morphogenesis	0.000273837099240389	10.4090772014475
GO:0051726	343	14	14.19	regulation of cell cycle	0.00737402899965462	0.566480391915512
GO:0019722	19	4	0.79	calcium-mediated signaling	0.00686856896784181	2.92184623198527
GO:0070816	27	5	1.12	phosphorylation of RNA polymerase II C-terminal domain	0.00454020799026377	2.57014251887593
GO:0006680	5	2	0.21	glucosylceramide catabolic process	0.0157313091026314	5.55150784077201
GO:0001676	8	2	0.33	long-chain fatty acid metabolic process	0.0405565111005948	3.46969240048251
GO:0034220	1130	44	46.75	ion transmembrane transport	0.00647497871898944	0.540412267685771
GO:0009863	7	2	0.29	salicylic acid mediated signaling pathway	0.0312630841634237	3.96536274340858
GO:0016311	753	61	31.15	dephosphorylation	0.0277355519433869	1.12430935686286
GO:0005992	21	4	0.87	trehalose biosynthetic process	0.00993283302549019	2.64357516227239
GO:0045792	1	1	0.04	negative regulation of cell size	0.0413672727272726	13.87876960193
GO:0031938	1	1	0.04	regulation of chromatin silencing at telomere	0.0413672727272726	13.87876960193
GO:0050992	6	2	0.25	dimethylallyl diphosphate biosynthetic process	0.0229539781181395	4.62625653397668
GO:0042538	4	2	0.17	hyperosmotic salinity response	0.00970416168987234	6.93938480096502
GO:0006468	2458	231	101.68	protein phosphorylation	2.09629775488049e-33	1.30431073150766
GO:0015995	46	5	1.9	chlorophyll biosynthetic process	0.0406095083217197	1.50856191325326
GO:1901703	4	2	0.17	protein localization involved in auxin polar transport	0.00970416168987234	6.93938480096502
GO:0035556	620	34	25.65	intracellular signal transduction	0.00953319477141167	0.761093816880034
GO:0072583	37	10	1.53	clathrin-dependent endocytosis	1.78160382972165e-06	3.75101881133244
GO:0006486	266	26	11	protein glycosylation	2.57945065090919e-05	1.3565714648503
GO:0036065	19	4	0.79	fucosylation	0.00686856896784181	2.92184623198527
GO:0006470	477	44	19.73	protein dephosphorylation	1.62398608765766e-05	1.28022193393065
GO:0045041	1	1	0.04	protein import into mitochondrial intermembrane space	0.0413672727272726	13.87876960193
GO:0097054	2	2	0.08	L-glutamate biosynthetic process	0.00171009758961583	13.87876960193
GO:0015914	56	9	2.32	phospholipid transport	0.000956726142919748	2.23051654316733
GO:0015916	1	1	0.04	fatty-acyl-CoA transport	0.0413672727272726	13.87876960193
GO:0050790	780	43	32.27	regulation of catalytic activity	0.0439821104492309	0.765111657542297
GO:0033387	1	1	0.04	putrescine biosynthetic process from ornithine	0.0413672727272726	13.87876960193
GO:0046294	6	2	0.25	formaldehyde catabolic process	0.0229539781181395	4.62625653397668
GO:1902977	1	1	0.04	mitotic DNA replication preinitiation complex assembly	0.0413672727272726	13.87876960193
GO:0033674	46	5	1.9	positive regulation of kinase activity	0.0049805377558513	1.50856191325326
GO:0033617	13	3	0.54	mitochondrial cytochrome c oxidase assembly	0.0147980120820362	3.20279298506078
GO:0046256	1	1	0.04	2,4,6-trinitrotoluene catabolic process	0.0413672727272726	13.87876960193
GO:0015721	1	1	0.04	bile acid and bile salt transport	0.0413672727272726	13.87876960193
