Annotated	Significant	Expected	Term	pval
GO:0035335	47	6	1.94	peptidyl-tyrosine dephosphorylation	0.0124974483727025
GO:0009693	20	5	0.83	ethylene biosynthetic process	0.00110843552805211
GO:0009696	37	5	1.53	salicylic acid metabolic process	0.0117388640279188
GO:0015031	1238	78	51.21	protein transport	0.000841524954782146
GO:0009698	212	13	8.77	phenylpropanoid metabolic process	0.00854989892677919
GO:0016126	43	5	1.78	sterol biosynthetic process	0.0315212400773452
GO:0006101	5	4	0.21	citrate metabolic process	1.41014515781672e-05
GO:0032968	38	5	1.57	positive regulation of transcription elongation from RNA polymerase II promoter	0.0194397738378499
GO:0120188	1	1	0.04	regulation of bile acid secretion	0.0413672727272726
GO:0055114	3664	168	151.57	oxidation-reduction process	0.0466433317343183
GO:0009620	126	16	5.21	response to fungus	0.00430174727631398
GO:0050860	1	1	0.04	negative regulation of T cell receptor signaling pathway	0.0413672727272726
GO:0019375	6	2	0.25	galactolipid biosynthetic process	0.0229539781181395
GO:0015867	87	12	3.6	ATP transport	0.000655285228234217
GO:0009607	418	38	17.29	response to biotic stimulus	0.00214221990513955
GO:0006952	893	59	36.94	defense response	0.00577705519951802
GO:0048544	199	18	8.23	recognition of pollen	0.00163348169295774
GO:0060236	15	3	0.62	regulation of mitotic spindle organization	0.0221393293449336
GO:0034587	1	1	0.04	piRNA metabolic process	0.0413672727272726
GO:0050832	80	9	3.31	defense response to fungus	0.0275291801853209
GO:0046777	96	10	3.97	protein autophosphorylation	0.0063918497472593
GO:0046710	2	2	0.08	GDP metabolic process	0.00171009758961583
GO:0046740	4	2	0.17	transport of virus in host, cell to cell	0.00970416168987234
GO:0006099	84	9	3.47	tricarboxylic acid cycle	0.00788483901969438
GO:0006904	20	3	0.83	vesicle docking involved in exocytosis	0.0476323835959469
GO:0030001	546	31	22.59	metal ion transport	0.0312516266118552
GO:0038183	1	1	0.04	bile acid signaling pathway	0.0413672727272726
GO:0019427	4	3	0.17	acetyl-CoA biosynthetic process from acetate	0.000273837099240389
GO:0006075	22	5	0.91	(1->3)-beta-D-glucan biosynthetic process	0.00175759209685713
GO:0090378	3	2	0.12	seed trichome elongation	0.00498899939455636
GO:0010190	4	2	0.17	cytochrome b6f complex assembly	0.00970416168987234
GO:0031667	114	10	4.72	response to nutrient levels	0.041241025042321
GO:0006044	6	2	0.25	N-acetylglucosamine metabolic process	0.0229539781181395
GO:0045337	7	2	0.29	farnesyl diphosphate biosynthetic process	0.0312630841634237
GO:0007165	1437	104	59.44	signal transduction	0.0190740217236399
GO:2000033	4	2	0.17	regulation of seed dormancy process	0.00970416168987234
GO:1904486	1	1	0.04	response to 17alpha-ethynylestradiol	0.0413672727272726
GO:0006749	60	9	2.48	glutathione metabolic process	0.000762952644290333
GO:0007186	40	12	1.65	G protein-coupled receptor signaling pathway	0.000154306903792291
GO:0055085	2531	119	104.7	transmembrane transport	0.0284435791997134
GO:0007178	19	3	0.79	transmembrane receptor protein serine/threonine kinase signaling pathway	0.0417338164057232
GO:0006002	28	6	1.16	fructose 6-phosphate metabolic process	0.000852931679567768
GO:0008360	47	6	1.94	regulation of cell shape	0.0124974483727025
GO:0090630	33	7	1.37	activation of GTPase activity	0.000338799097063894
