Annotated	Significant	Expected	Term	pval
GO:2000766	1	1	0	negative regulation of cytoplasmic translation	0.00404363636363647
GO:0050821	29	2	0.12	protein stabilization	0.0061358604334102
GO:0009789	12	2	0.05	positive regulation of abscisic acid-activated signaling pathway	0.0010433407603217
GO:1903645	1	1	0	negative regulation of chaperone-mediated protein folding	0.00404363636363647
GO:0010923	54	2	0.22	negative regulation of phosphatase activity	0.0202514931727301
GO:0048205	3	1	0.01	COPI coating of Golgi vesicle	0.0120822722911608
GO:0034605	25	2	0.1	cellular response to heat	0.00458202193792729
GO:0000122	37	2	0.15	negative regulation of transcription by RNA polymerase II	0.00985526550837631
GO:0009408	109	9	0.44	response to heat	4.82372812473536e-08
GO:2000738	1	1	0	positive regulation of stem cell differentiation	0.00404363636363647
GO:0042149	16	2	0.06	cellular response to glucose starvation	0.00187697318535604
GO:0052865	11	1	0.04	1-deoxy-D-xylulose 5-phosphate biosynthetic process	0.0435977310864992
GO:0070070	7	1	0.03	proton-transporting V-type ATPase complex assembly	0.0279667996911696
GO:0000395	4	1	0.02	mRNA 5'-splice site recognition	0.0160774010049839
GO:0045859	191	4	0.77	regulation of protein kinase activity	0.0184979320011202
GO:0032447	7	1	0.03	protein urmylation	0.0279667996911696
GO:0015689	8	1	0.03	molybdate ion transport	0.0318981490522885
GO:0006884	3	2	0.01	cell volume homeostasis	4.85720967754006e-05
GO:0005983	5	1	0.02	starch catabolic process	0.0200564892264586
GO:0042026	58	3	0.23	protein refolding	0.00169674619500492
GO:0006821	26	2	0.11	chloride transport	0.00495076263000387
GO:0005977	30	2	0.12	glycogen metabolic process	0.0065568159577971
GO:0000387	33	3	0.13	spliceosomal snRNP assembly	0.0003229809727415
GO:0043547	88	3	0.36	positive regulation of GTPase activity	0.00552575897771523
GO:1902811	1	1	0	positive regulation of skeletal muscle fiber differentiation	0.00404363636363647
GO:0071158	6	1	0.02	positive regulation of cell cycle arrest	0.0240196008935382
GO:2000059	1	1	0	negative regulation of ubiquitin-dependent protein catabolic process	0.00404363636363647
GO:0034227	9	1	0.04	tRNA thio-modification	0.0358137121588068
GO:0010222	2	2	0.01	stem vascular tissue pattern formation	1.62338342404672e-05
GO:1905870	1	1	0	positive regulation of 3'-UTR-mediated mRNA stabilization	0.00404363636363647
GO:2000024	26	2	0.11	regulation of leaf development	0.00495076263000387
GO:0010305	18	3	0.07	leaf vascular tissue pattern formation	5.04984188127524e-05
GO:0001938	1	1	0	positive regulation of endothelial cell proliferation	0.00404363636363647
GO:0051085	61	2	0.25	chaperone cofactor-dependent protein refolding	0.0254285196632754
GO:0042542	10	1	0.04	response to hydrogen peroxide	0.0397135519426025
GO:0008612	2	1	0.01	peptidyl-lysine modification to peptidyl-hypusine	0.00807103889303229
GO:0051382	6	1	0.02	kinetochore assembly	0.0240196008935382
GO:0050730	1	1	0	regulation of peptidyl-tyrosine phosphorylation	0.00404363636363647
GO:0035066	7	1	0.03	positive regulation of histone acetylation	0.0279667996911696
GO:0035067	7	1	0.03	negative regulation of histone acetylation	0.0279667996911696
GO:0006457	365	11	1.48	protein folding	7.00216315749489e-05
GO:0031146	83	5	0.34	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	2.26659010166883e-05
GO:0045766	1	1	0	positive regulation of angiogenesis	0.00404363636363647
GO:0019464	11	1	0.04	glycine decarboxylation via glycine cleavage system	0.0435977310864992
GO:0045663	1	1	0	positive regulation of myoblast differentiation	0.00404363636363647
GO:0061158	1	1	0	3'-UTR-mediated mRNA destabilization	0.00404363636363647
GO:0080006	2	2	0.01	internode patterning	1.62338342404672e-05
GO:0045717	8	1	0.03	negative regulation of fatty acid biosynthetic process	0.0318981490522885
