"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.magenta"	"p.MM.magenta"
"Niben261Chr06g0316005.1"	"Dnaj protein-like protein"	"magenta"	-0.438733886787146	0.00181261051732411	-0.31576220004055	0.0287958206546078	0.974291432174241	2.01966789941896e-31
"Niben261Chr15g0912002.1"	"DnaJ"	"magenta"	-0.379972473365365	0.00772493660794679	-0.26666975351614	0.066925168930383	0.972077035402409	1.31928565217291e-30
"Niben261Chr07g0724002.1"	"Ubiquitin-conjugating enzyme E2"	"magenta"	-0.318173573276995	0.0275322455054402	-0.137531507137279	0.351248993586969	0.965739759716627	1.36134348214953e-28
"Niben261Chr03g1294006.1"	"Cyclin-dependent kinases regulatory subunit"	"magenta"	-0.411067565668704	0.00370328741672678	-0.317407619899728	0.0279284993200872	0.961994939907881	1.42136681969524e-27
"Niben261Chr04g1632003.1"	"RNA binding protein"	"magenta"	-0.375077452301903	0.00861971949667076	-0.191192677211439	0.193001290468349	0.95551963375551	4.94317278416625e-26
"Niben261Chr11g0888007.1"	"DnaJ protein"	"magenta"	-0.517337068450425	0.000166372048410769	-0.366726255403754	0.0103536007021618	0.953736789605087	1.19734615608727e-25
"Niben261Chr18g0021002.1"	"Cyclin-dependent kinases regulatory subunit"	"magenta"	-0.377768100748825	0.0081173980153183	-0.286838409164553	0.0480818677964646	0.953310279349242	1.47194312370879e-25
"Niben261Chr17g1061006.1"	"phosphoglucan phosphatase LSF1, chloroplastic-like"	"magenta"	-0.410631263342318	0.00374349437675866	-0.246293408405941	0.0915078707176203	0.951417430863643	3.59742964732249e-25
"Niben261Chr03g0059001.1"	"GTP binding Elongation factor Tu family protein"	"magenta"	-0.503487016953903	0.000264463047583602	-0.398028457238583	0.00508305941216	0.949968638496151	6.96189773284392e-25
"Niben261Chr12g0714002.1"	"protein trichome birefringence-like 43"	"magenta"	-0.52945271462186	0.000109084914018054	-0.410541976197178	0.00375176965057156	0.943208054284281	1.19403523365968e-23
"Niben261Chr02g1039019.1"	"sarcoplasmic reticulum histidine-rich calcium-binding protein-like"	"magenta"	-0.548001859283313	5.5366450538424e-05	-0.398098968566221	0.00507452993238603	0.940491025051605	3.39654368702895e-23
"Niben261Chr18g0122003.1"	"temperature-induced lipocalin-1-like"	"magenta"	-0.431830282431199	0.00217850991756287	-0.30186691775492	0.0370525416519714	0.932200603006065	6.23351160838011e-22
"Niben261Chr14g0602035.1"	"cyclin-dependent kinase G-2-like"	"magenta"	-0.209780405395738	0.152410264313758	-0.0653341505524788	0.659076538133488	0.925623406904099	4.88025211914566e-21
"Niben261Chr18g0242005.1"	"Serinethreonine-protein kinase"	"magenta"	-0.290575267002048	0.0451173060593339	-0.134114747560452	0.363457567124825	0.922442077608278	1.2351422000201e-20
"Niben261Chr05g0605001.1"	"15.7 kDa heat shock protein, peroxisomal"	"magenta"	-0.490867635182056	0.000396679541564554	-0.388277660821624	0.00639017090383536	0.918045203659545	4.18435674667862e-20
"Niben261Chr07g1017008.1"	"Chr5:531066-532725 FORWARD LENGTH=176"	"magenta"	-0.22545309226167	0.12338414756318	-0.0686537940377781	0.642893341589544	0.915151499894396	9.00444846854244e-20
"Niben261Chr06g0079001.1"	"Geranylgeranyl pyrophosphate synthase"	"magenta"	-0.300482370495407	0.037972494179703	-0.217417544828327	0.137695185332255	0.915012116016904	9.33659477241636e-20
"Niben261Chr04g1443009.1"	"ATP-dependent RNA helicase A-like protein"	"magenta"	-0.486109324699977	0.000460347261510866	-0.319140679103576	0.0270386362867565	0.913664203409167	1.32112386157556e-19
"Niben261Chr03g0016006.1"	"UBR-type domain-containing protein"	"magenta"	-0.62234062771997	2.33032511543608e-06	-0.475922646447235	0.00062859286410122	0.912341243243529	1.84729169998421e-19
"Niben261Chr03g1919008.1"	"adoMet-dependent rRNA methyltransferase spb1"	"magenta"	-0.28789517969459	0.0472278908927787	-0.128196406077991	0.385202960346333	0.907539478572743	5.97455083777869e-19
"Niben261Chr15g1512010.1"	"CS domain-containing protein"	"magenta"	-0.506387280132834	0.000240394609271387	-0.352790495536069	0.0139160134070821	0.906088371662679	8.4122840376169e-19
"Niben261Chr11g1389005.1"	"17.9 kDa class I heat shock protein"	"magenta"	-0.515244815492958	0.000178666511710059	-0.396993313732302	0.0052097263559139	0.905435608967569	9.79444782686802e-19
"Niben261Chr04g0059015.1"	"tetratricopeptide repeat protein 4 homolog"	"magenta"	-0.35773853009857	0.0125469337207396	-0.123171983709942	0.404253448156785	0.904678435621889	1.16685349550268e-18
"Niben261Chr07g0892004.1"	"Protein C2-DOMAIN ABA-RELATED 1"	"magenta"	-0.568648220762377	2.47911715253031e-05	-0.44374693941891	0.00158223318120873	0.904266743475841	1.2826061281978e-18
"Niben261Chr14g1337004.1"	"At-rich interactive domain-containing protein 2"	"magenta"	-0.408931938925241	0.00390377337727325	-0.264101919262161	0.0696968805435365	0.901796202301489	2.24264162898233e-18
"Niben261Chr06g0158010.1"	"Beta-glucosidase"	"magenta"	-0.260692853676787	0.0735165245396957	-0.16780886969483	0.254255189292411	0.90173237033551	2.27480594127646e-18
"Niben261Chr08g0372009.1"	"Chr5:5639843-5642427 REVERSE LENGTH=569"	"magenta"	-0.306490163073745	0.034112628790014	-0.160948999425451	0.274465035219538	0.901594803900952	2.34562385714182e-18
"Niben261Chr15g1201012.1"	"Heterogeneous nuclear ribonucleoprotein 1"	"magenta"	-0.476676932493018	0.000614462208417934	-0.403419809016263	0.0044659001599657	0.900795050754693	2.80075211843007e-18
"Niben261Chr14g0607006.1"	"transcription factor bHLH118-like"	"magenta"	-0.53752713653135	8.15976058889878e-05	-0.3989316161359	0.00497474971441035	0.897840502355301	5.32397087482481e-18
"Niben261Chr13g1166005.1"	"Nuclear migration protein nudC"	"magenta"	-0.652629131789385	4.99285291244695e-07	-0.516135053669884	0.000173337799600321	0.897596681893098	5.60887485201408e-18
"Niben261Chr01g0495008.1"	"Heat shock protein 90"	"magenta"	-0.642425695465058	8.54880184474898e-07	-0.480865023737108	0.000541072978846262	0.897122899364492	6.20450303286274e-18
"Niben261Chr16g0936013.1"	"Unknown protein"	"magenta"	-0.205208408207201	0.161755806340115	-0.080717008064348	0.585496282873512	0.894922513276945	9.85188446548387e-18
"Niben261Chr10g1108005.1"	"17.6 kDa class I heat shock protein"	"magenta"	-0.595484868026528	8.01998229896308e-06	-0.479356087703881	0.00056655127632644	0.893190841341015	1.40753140513484e-17
"Niben261Chr04g0207001.1"	"YTH domain-containing protein"	"magenta"	-0.442085872949004	0.00165550298694011	-0.292098676574495	0.0439523022746247	0.892803305195282	1.52324150827307e-17
"Niben261Chr13g0211018.1"	"Sorting nexin like"	"magenta"	-0.381164746760443	0.00751959861893189	-0.190170089086139	0.195437935037353	0.891895192332765	1.83087124927611e-17
"Niben261Chr15g1255009.1"	"Serine/arginine-rich-splicing factor SR45A"	"magenta"	-0.418446922671288	0.00307843533480817	-0.22818509302507	0.118783659254298	0.891456964055602	1.99966071744857e-17
"Niben261Chr02g1409007.1"	"U3 small nucleolar RNA-associated protein 4 homolog"	"magenta"	-0.589072213140175	1.05993156926972e-05	-0.433362215332318	0.00209209856387776	0.890578967589532	2.38340579469141e-17
"Niben261Chr03g0487014.1"	"Arf gtpase-activating protein"	"magenta"	-0.265237430095761	0.0684601834690158	-0.14101501596823	0.339064022616684	0.889269871795135	3.08801941816724e-17
"Niben261Chr05g1087016.1"	"Serine/threonine-protein phosphatase PP2A catalytic subunit"	"magenta"	-0.345018666984236	0.016323229816429	-0.196599324943084	0.180476541121621	0.889116509733719	3.18247616057291e-17
"Niben261Chr15g1512008.1"	"Glutathione transferase"	"magenta"	-0.548150397609413	5.50576593251076e-05	-0.400353587266036	0.00480830980927422	0.886002856455089	5.81240594088966e-17
"Niben261Chr13g1078009.1"	"Serine/threonine-protein kinase"	"magenta"	-0.293006701491928	0.0432696641141474	-0.241321249022491	0.0984584529824672	0.883846656792539	8.73174654736195e-17
"Niben261Chr03g0945007.1"	"THUMP domain-containing protein"	"magenta"	-0.337887990212378	0.018834332906811	-0.285686107133819	0.0490272959280288	0.881613569644495	1.31980537218532e-16
"Niben261Chr11g0977014.1"	"Retrotrans_gag domain-containing protein"	"magenta"	-0.563501898294074	3.04410255974475e-05	-0.45995915930597	0.00100493692836112	0.879391868240926	1.97453388407641e-16
"Niben261Chr11g1286007.1"	"Cleavage and polyadenylation specificity factor subunit 3-ii"	"magenta"	-0.316062825401122	0.0286357044205258	-0.163055303219806	0.268149985943463	0.876461923703669	3.3190283301939e-16
"Niben261Chr15g1380016.1"	"chaperone protein ClpB4, mitochondrial"	"magenta"	-0.423789805161737	0.0026859734434086	-0.258689979845484	0.0758366552038677	0.876270033503205	3.43228169432477e-16
"Niben261Scf13210g0000001.1"	"chloride conductance regulatory protein ICln"	"magenta"	-0.554900450995654	4.25809941353249e-05	-0.379434751600857	0.00781912324482866	0.874659408572058	4.53888232375541e-16
"Niben261Chr03g1806007.1"	"Otu domain-containing protein"	"magenta"	-0.440018915217727	0.00175088099539968	-0.255480296639105	0.07967479336235	0.872738673554015	6.30262993620853e-16
"Niben261Chr14g1513045.1"	"Chr4:6688833-6692937 FORWARD LENGTH=527"	"magenta"	-0.465516727413703	0.000855681641479081	-0.355197511548677	0.0132348729266482	0.871579667821795	7.66378608783962e-16
"Niben261Chr13g1258002.1"	"Photosystem II 10 kDa polypeptide, chloroplastic"	"magenta"	-0.314690402789548	0.0293727484141629	-0.258171208496849	0.0764469208186712	0.864480057068922	2.43971211607141e-15
"Niben261Chr02g0878007.1"	"E3 ubiquitin-protein ligase RNF181-like"	"magenta"	-0.580623850898158	1.51682254542615e-05	-0.453799049981042	0.00119723397830432	0.862340877868034	3.41452606658001e-15
"Niben261Chr17g0802009.1"	"U1 small nuclear ribonucleoprotein C"	"magenta"	-0.235262244917513	0.107471332064179	-0.152756749164607	0.299954351750463	0.862316110122265	3.42772847938904e-15
"Niben261Chr02g0505007.1"	"Protein sawadee homeodomain-like 2"	"magenta"	-0.25589237491098	0.0791736564551104	-0.0806095053535126	0.585997479744236	0.858125212902817	6.51645674592548e-15
"Niben261Chr17g1283002.1"	"E3 ubiquitin-protein ligase CHIP"	"magenta"	-0.583935187869482	1.31960251036302e-05	-0.45766181616287	0.00107315516490608	0.85784175253274	6.80080786092247e-15
"Niben261Chr06g0903016.1"	"Chloride conductance regulatory protein icln"	"magenta"	-0.629281355429962	1.66113813990662e-06	-0.448877708086823	0.00137379307602777	0.852829871770579	1.42586139790465e-14
"Niben261Chr13g0866003.1"	"Erythroid differentiation-related factor 1"	"magenta"	-0.38484431304487	0.00691543190927543	-0.215648994462252	0.141004660861828	0.852775433692474	1.43715685605678e-14
"Niben261Chr12g0850005.1"	"heterogeneous nuclear ribonucleoprotein 1-like"	"magenta"	-0.253426669085039	0.0822095260184551	-0.09290143260579	0.529981444418397	0.851869813074455	1.63799315096544e-14
"Niben261Chr12g0264019.1"	"Protein-serine/threonine phosphatase"	"magenta"	-0.361876171115779	0.0114922279977536	-0.30533000760713	0.0348316094689705	0.850094242640594	2.11156870868253e-14
"Niben261Chr01g1618010.1"	"Ranbp2-type zinc finger protein"	"magenta"	-0.368618891910362	0.00993637035453238	-0.162733529910703	0.269108415997776	0.849267333066	2.3740368083999e-14
"Niben261Chr13g0792014.1"	"Chr3:21918667-21921877 FORWARD LENGTH=459"	"magenta"	-0.242924058664362	0.0961747516559892	-0.193700448691695	0.187117267789753	0.84664520355618	3.42650670380651e-14
"Niben261Chr02g0774004.1"	"nucleobase-ascorbate transporter 7-like"	"magenta"	-0.54290703219698	6.69681537664065e-05	-0.440597603706874	0.00172369768135158	0.842899307711026	5.72062354714868e-14
"Niben261Chr13g1250002.1"	"ABC transporter domain-containing protein"	"magenta"	-0.536303650001495	8.53079277910218e-05	-0.438663950832437	0.0018160248586162	0.841467244970174	6.93451394682672e-14
"Niben261Chr08g0400008.1"	"F-box domain-containing protein"	"magenta"	-0.321848070444232	0.0256959142088175	-0.176471153888962	0.230199980331762	0.839305897612138	9.23847423627606e-14
"Niben261Chr19g1403006.1"	"tropinone reductase-like 3"	"magenta"	-0.328592838519704	0.0225914443785465	-0.1691958147099	0.250294123521562	0.836586213793573	1.3176196193202e-13
"Niben261Chr05g1135002.1"	"1-deoxy-D-xylulose-5-phosphate synthase"	"magenta"	-0.617680541870447	2.91166051282893e-06	-0.518245475999425	0.000161277694555818	0.836324890081699	1.36287937551577e-13
"Niben261Chr03g0053016.1"	"G-patch domain-containing protein"	"magenta"	-0.54257794749559	6.77890020993602e-05	-0.358946428027954	0.0122307987124744	0.83597095660821	1.42653313773123e-13
"Niben261Chr02g0137014.1"	"Armadillo repeat-containing protein 8"	"magenta"	-0.350342720230358	0.0146391483739287	-0.155805362492108	0.290296307593558	0.834923119336	1.63192207979768e-13
"Niben261Chr03g0426010.1"	"Myosin-2"	"magenta"	-0.514195737236445	0.00018513681247628	-0.480446568752183	0.000548033095523487	0.83028139774663	2.92869643460659e-13
"Niben261Chr19g0545007.1"	"NADPH--cytochrome P450 reductase"	"magenta"	-0.272285272054258	0.0611694454520403	-0.0407564795962421	0.783285304778309	0.827787482213738	3.98103810759174e-13
"Niben261Chr07g0213005.1"	"Serine/threonine protein kinase"	"magenta"	-0.21923848587555	0.134348530503599	-0.0717251094386221	0.628065078875242	0.827095538306056	4.33122085657903e-13
"Niben261Scf13936g0000001.1"	"RNA-binding protein 24"	"magenta"	-0.28888956434584	0.0464356304625703	-0.232530648594087	0.111735561492523	0.825065831330989	5.53460583735715e-13
"Niben261Chr15g0293010.1"	"Glycoside hydrolase, family 43"	"magenta"	-0.234546110466112	0.108577023768577	-0.13679223912729	0.353868963356381	0.820427879455691	9.57971736719957e-13
"Niben261Chr12g0084003.1"	"Thioredoxin-dependent peroxiredoxin"	"magenta"	-0.666029374582441	2.38772426404413e-07	-0.555868440001992	4.10216524062925e-05	0.818289838785207	1.22717738610913e-12
"Niben261Chr17g0099006.1"	"histone-lysine N-methyltransferase, H3 lysine-79 specific-like isoform X1"	"magenta"	-0.241214368959693	0.098612213080885	-0.190613529509436	0.19437863167309	0.817791334138424	1.29952039282736e-12
"Niben261Chr10g0199010.1"	"ADP,ATP carrier protein, mitochondrial"	"magenta"	-0.274132794065854	0.0593649382990644	-0.223230340692261	0.127225310030948	0.816893999777117	1.44002838863337e-12
"Niben261Chr17g0634005.1"	"CBS domain-containing protein CBSX5-like"	"magenta"	-0.656716617050902	4.00232351593057e-07	-0.51747647260784	0.00016558088494422	0.816063878300257	1.58271893895643e-12
"Niben261Chr10g0615005.1"	"Chaperone protein DNAj"	"magenta"	-0.593840996766104	8.61918625964155e-06	-0.562468223051027	3.17095255082807e-05	0.807662635181155	4.01267589980905e-12
"Niben261Chr07g0756026.1"	"Methylsterol monooxygenase 2-2"	"magenta"	-0.410684167091685	0.00373859874369071	-0.410182744442507	0.0037852264575832	0.806371115113511	4.61101699667605e-12
"Niben261Chr09g0146002.1"	"Ethylene receptor"	"magenta"	-0.365079531634976	0.0107287951771413	-0.223483545109707	0.126783258778821	0.805349896615045	5.14290166975746e-12
"Niben261Chr05g0588002.1"	"Glucan endo-1,3-beta-D-glucosidase"	"magenta"	-0.21908838212768	0.134622080046836	-0.0757775370098156	0.608720785118543	0.805316937118996	5.16099897092975e-12
"Niben261Chr16g0805021.1"	"Pyruvate decarboxylase"	"magenta"	-0.255319007077753	0.0798716184368887	-0.203149926838654	0.166097406355607	0.80490943157997	5.38978676134678e-12
"Niben261Chr03g1511052.1"	"Cytochrome P450"	"magenta"	-0.254049684357687	0.0814339652329119	-0.216286929217411	0.139804149663	0.803608914805147	6.18582103737607e-12
"Niben261Chr05g0781012.1"	"protein MODIFIER OF SNC1 11-like"	"magenta"	-0.344630667484184	0.0164521441374508	-0.307613694535947	0.033428078176481	0.802194351352424	7.17740532406345e-12
"Niben261Chr01g0342005.1"	"NAC domain-containing protein 72-like"	"magenta"	-0.320429257005545	0.026392443690351	-0.233138838057415	0.110775140583342	0.800944189728433	8.17717958139826e-12
