"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.greenyellow"	"p.MM.greenyellow"
"Niben261Chr08g0367020.1"	"WEB family protein At3g02930, chloroplastic-like"	"greenyellow"	0.29241464626925	0.0437137711306757	-0.00187730811432355	0.989896235845577	0.978726414347024	2.71863735752358e-33
"Niben261Chr01g1050001.1"	"Auxin response factor"	"greenyellow"	0.331539193203535	0.0213377533955084	0.0394994689658785	0.789815093087653	0.958019698297102	1.34233193298867e-26
"Niben261Chr08g0008011.1"	"O-fucosyltransferase family protein"	"greenyellow"	0.301596221257603	0.0372309463550657	0.0304642804884499	0.837144937968411	0.957947235226836	1.39556022845782e-26
"Niben261Chr12g0849012.1"	"Chr4:7482643-7484328 REVERSE LENGTH=561"	"greenyellow"	0.256738875278224	0.0781519870003417	-0.035801786895971	0.809104746899733	0.936500090447068	1.44749738266501e-22
"Niben261Chr04g0387001.1"	"Auxin response factor"	"greenyellow"	0.328676098273014	0.0225551855111928	0.00806570043940111	0.956609585364241	0.928733674586674	1.89008662652124e-21
"Niben261Chr15g1147007.1"	"COBRA-like protein"	"greenyellow"	0.261022547825337	0.0731400451563746	0.00419855076044243	0.977405531158818	0.921720837293312	1.51618512069812e-20
"Niben261Chr19g0186001.1"	"fasciclin-like arabinogalactan protein 2"	"greenyellow"	0.27709024231047	0.0565654812716299	-0.0212535499138154	0.885987248049453	0.908664133421158	4.56495877275836e-19
"Niben261Chr10g0031003.1"	"UDP-glucuronate 4-epimerase 6-like"	"greenyellow"	0.455640150840374	0.00113658099081721	0.185340994092687	0.207239483585169	0.896379703449056	7.26165307120194e-18
"Niben261Chr05g0586001.1"	"Hexosyltransferase"	"greenyellow"	0.214585917607363	0.143022232543905	0.0223975290387077	0.879894355139922	0.89342701107717	1.34117087051455e-17
"Niben261Chr08g0093001.1"	"Protein aspartic protease in guard cell 1"	"greenyellow"	0.315509191434131	0.0289311525951218	0.13413606711805	0.363380602575281	0.886553210821257	5.23207659424218e-17
"Niben261Chr14g0593007.1"	"GATA transcription factor"	"greenyellow"	0.296331431932222	0.040843715417597	-0.00144691299505361	0.992212561738547	0.884547987024207	7.65592715452767e-17
"Niben261Chr04g0235002.1"	"Aldehyde dehydrogenase"	"greenyellow"	0.321988031591433	0.0256280447812517	0.0424600263910088	0.774459480142406	0.883099945336409	1.00345526925279e-16
"Niben261Chr07g1259002.1"	"GDSL esterase/lipase"	"greenyellow"	0.384620087340056	0.00695100356481068	0.10904863947722	0.460635639830094	0.875442194745035	3.96435721623387e-16
"Niben261Chr06g1461001.1"	"Very-long-chain aldehyde decarbonylase GL1-3"	"greenyellow"	0.221821174943218	0.129706680080175	-0.0225541218964896	0.879060860115078	0.870370276747807	9.37963847299696e-16
"Niben261Chr01g0191003.1"	"Mitogen-activated protein kinase"	"greenyellow"	0.204861832310319	0.162480919092276	-0.0848383386094567	0.566428831044775	0.870167240108503	9.70131542577741e-16
"Niben261Chr03g0154010.1"	"GDSL esterase/lipase EXL3-like"	"greenyellow"	0.511823441073054	0.000200560169176686	0.233093325062011	0.110846793408634	0.86876932425231	1.22179150650688e-15
"Niben261Chr06g0700018.1"	"WEB family protein At3g02930, chloroplastic-like"	"greenyellow"	0.274041352391865	0.0594532347249576	-0.0387753408682393	0.793583239004631	0.86713858252988	1.59371228944082e-15
"Niben261Chr15g1489008.1"	"Sterol 3-beta-glucosyltransferase ugt80a2"	"greenyellow"	0.321622464050297	0.0258056307623632	0.153762018797366	0.296747019096551	0.865090646753468	2.2141787512086e-15
"Niben261Chr18g0237002.1"	"Cellulose synthase"	"greenyellow"	0.269352430999471	0.0641239478774845	0.0811787349074333	0.583345821843733	0.863990901338668	2.63596401629101e-15
"Niben261Chr07g1395012.1"	"Calcium permeable stress-gated cation channel 1"	"greenyellow"	0.431795248218895	0.00218052253247741	0.136065778205267	0.356455144121695	0.863154493933002	3.00672351686892e-15
"Niben261Chr08g0343005.1"	"Sialyltransferase-like protein 2"	"greenyellow"	0.32492974317342	0.0242358779469179	0.068406844662391	0.644091707270523	0.862323993454384	3.42352102896568e-15
"Niben261Chr08g0420008.1"	"Pectinesterase"	"greenyellow"	0.370772884594336	0.00947921722989398	0.152989831497983	0.299208715206588	0.85823128880762	6.41297966065965e-15
"Niben261Chr05g1222004.1"	"LRR receptor-like serine/threonine-protein kinase FEI 1"	"greenyellow"	0.250471320578353	0.0859676742719163	-0.0323074292610709	0.82743759942205	0.852594405570495	1.47533268985945e-14
"Niben261Chr14g0554006.1"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2"	"greenyellow"	0.215863852676892	0.140599472635527	-0.0480394652457526	0.745755411133034	0.847091009406825	3.22082416893284e-14
"Niben261Chr05g1243004.1"	"Glyco_trans_2-like domain-containing protein"	"greenyellow"	0.263523284594782	0.0703338626937851	-0.00872657002939997	0.95305817611877	0.845704623221978	3.90207751828733e-14
"Niben261Chr15g0250007.1"	"Protein kinase domain-containing protein"	"greenyellow"	0.253744440486372	0.0818132277619495	-0.00146255206412153	0.992128393246818	0.843125511951403	5.54838402672442e-14
"Niben261Chr18g0131008.1"	"Glucomannan 4-beta-mannosyltransferase 2"	"greenyellow"	0.264246808604064	0.0695381001023193	0.0302918033256115	0.838054577356192	0.837164650817962	1.222453780074e-13
"Niben261Chr14g0783007.1"	"Methyltransferase"	"greenyellow"	0.298390665337046	0.0393978645289042	0.12648628407906	0.39162660648963	0.833564963248351	1.94006051565862e-13
"Niben261Chr05g0034002.1"	"Hexosyltransferase"	"greenyellow"	0.351469170595678	0.0143024841686951	0.0748802529338532	0.612981844539063	0.831367373476553	2.55825667667075e-13
