"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.grey60"	"p.MM.grey60"
"Niben261Chr04g1791013.1"	"Tify domain-containing protein"	"grey60"	0.385078847442791	0.00687839411481406	0.218173906921025	0.136297623577518	0.946435984359585	3.21860376290388e-24
"Niben261Chr13g0858005.1"	"Alkaline/neutral invertase"	"grey60"	0.285828629824795	0.048909549342762	0.0816718199391759	0.581053251351644	0.906089627850544	8.40981273704807e-19
"Niben261Chr01g0030011.1"	"chromodomain-helicase-DNA-binding protein 3 homolog"	"grey60"	0.361645659885583	0.0115489178023476	0.224455053065096	0.125097895234949	0.89564004692988	8.48256340481909e-18
"Niben261Chr08g0024017.1"	"Lipoxygenase"	"grey60"	0.256119223182305	0.0788988412758532	0.0453916812178733	0.759337369437205	0.887462967828787	4.39179553912006e-17
"Niben261Chr11g1180001.1"	"beta-glucosidase 18-like"	"grey60"	0.311346047310058	0.0312350834212576	0.217501525903805	0.137539484916693	0.875495729723159	3.92770311449991e-16
"Niben261Chr19g0653006.1"	"alcohol dehydrogenase-like 7"	"grey60"	0.230280678330189	0.115343878564461	0.107342983272342	0.467720665937691	0.871403524693052	7.89364699807159e-16
"Niben261Chr01g0030010.1"	"chromodomain-helicase-DNA-binding protein 3-like isoform X5"	"grey60"	0.392734903796804	0.00576026496394056	0.222587227035774	0.128353287512444	0.867092054636351	1.60575949973612e-15
"Niben261Chr18g0190001.1"	"Formyltetrahydrofolate synthetase"	"grey60"	0.421461420162578	0.00285121353606251	0.252507541669693	0.0833642618126445	0.836074765833783	1.40757707576234e-13
"Niben261Chr09g1374012.1"	"Transcription factor GTE7"	"grey60"	0.333968917608293	0.0203484505425956	0.116342533214244	0.431002563996887	0.807433421218448	4.11320178876453e-12
"Niben261Chr12g0230011.1"	"chromodomain-helicase-DNA-binding protein 3 homolog"	"grey60"	0.22715702894107	0.120499335713246	0.00179020856033583	0.990364987338044	0.801444371899778	7.76232496229546e-12
