"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.yellow"	"p.MM.yellow"
"Niben261Chr17g1496012.1"	"nuclear transcription factor Y subunit A-1-like"	"yellow"	0.215435540440827	0.141408059789331	0.330085313306339	0.0219488645711484	0.910252410625653	3.10311265536458e-19
"Niben261Chr05g0723016.1"	"65-kDa microtubule-associated protein 6"	"yellow"	0.2132340268419	0.145618771651444	0.268475666057728	0.0650289669166815	0.907389257887533	6.19159488259596e-19
"Niben261Chr01g1261002.1"	"Chr5:17116630-17119492 REVERSE LENGTH=540"	"yellow"	0.231492164890595	0.113390145335857	0.324960106875175	0.02422184566491	0.899016483801269	4.13269584045539e-18
"Niben261Chr04g1820011.1"	"Glutamate carboxypeptidase"	"yellow"	0.243183229709759	0.0958093631687252	0.260478416046062	0.0737622132337186	0.896655696899008	6.85048831703288e-18
"Niben261Chr03g0125001.1"	"Tetratricopeptide repeat protein"	"yellow"	0.208351461958792	0.155287406502904	0.343740214460868	0.0167512731286449	0.891319596937457	2.05554837273846e-17
"Niben261Chr13g1141010.1"	"Histone deacetylase"	"yellow"	0.211709846408312	0.148587888633545	0.317347837256645	0.0279596258670317	0.875845267583474	3.69618416214516e-16
"Niben261Chr08g0408018.1"	"acyl-CoA-binding domain-containing protein 1-like"	"yellow"	0.240882915222549	0.0990902289870527	0.288733320432801	0.0465593941378826	0.871132450223654	8.26023261062733e-16
"Niben261Chr08g0307010.1"	"ABC transporter G family member 11"	"yellow"	0.233983591064471	0.109451623880817	0.3591630376737	0.0121748344849956	0.866757891244749	1.69485961538624e-15
"Niben261Chr10g0899005.1"	"Ankyrin repeat-containing protein"	"yellow"	0.213536837402564	0.145034161008078	0.297352163028453	0.0401216874445345	0.859975150100425	4.91999496698271e-15
"Niben261Chr11g1071012.1"	"Exostosin domain-containing protein"	"yellow"	0.218246573827926	0.136163913401473	0.187555001273915	0.201768208664997	0.858220044865684	6.42387375159926e-15
"Niben261Chr16g0490008.1"	"E3 ubiquitin-protein ligase At3g02290-like"	"yellow"	0.232319614339958	0.112070295866731	0.360637359084116	0.0117997185349816	0.854420038877447	1.13074947043442e-14
"Niben261Chr02g1461004.1"	"Trihelix transcription factor gt-2"	"yellow"	0.265685204158985	0.0679773290748608	0.31149962013437	0.0311474698887881	0.854124804589067	1.18074035818487e-14
