Annotated	Significant	Expected	Term	pval
GO:0035335	47	5	1.72	peptidyl-tyrosine dephosphorylation	0.0278912003874611
GO:0009693	20	5	0.73	ethylene biosynthetic process	0.0006330904755748
GO:0015031	1238	76	45.23	protein transport	1.23604826429147e-05
GO:0016120	4	2	0.15	carotene biosynthetic process	0.00762006858844965
GO:0016126	43	10	1.57	sterol biosynthetic process	2.61160014474033e-06
GO:0006101	5	2	0.18	citrate metabolic process	0.0123931459465644
GO:0032968	38	4	1.39	positive regulation of transcription elongation from RNA polymerase II promoter	0.0489844668783082
GO:0016114	102	17	3.73	terpenoid biosynthetic process	0.0053710323906234
GO:0030212	10	2	0.37	hyaluronan metabolic process	0.0494053863430799
GO:0016117	20	6	0.73	carotenoid biosynthetic process	0.00131652883699556
GO:0000304	3	3	0.11	response to singlet oxygen	4.86676845234829e-05
GO:0032956	47	4	1.72	regulation of actin cytoskeleton organization	0.00133325632113314
GO:0016135	2	2	0.07	saponin biosynthetic process	0.00133401460935062
GO:0032211	1	1	0.04	negative regulation of telomere maintenance via telomerase	0.0365381818181819
GO:0009626	111	9	4.06	plant-type hypersensitive response	0.0206206463024104
GO:0050860	1	1	0.04	negative regulation of T cell receptor signaling pathway	0.0365381818181819
GO:0015867	87	9	3.18	ATP transport	0.00450863624841544
GO:0009607	418	39	15.27	response to biotic stimulus	1.10364499794926e-08
GO:0006272	2	2	0.07	leading strand elongation	0.00133401460935062
GO:0006952	893	49	32.63	defense response	0.0133598457422389
GO:0006275	30	3	1.1	regulation of DNA replication	0.0123914938508791
GO:0048544	199	17	7.27	recognition of pollen	0.00108151215589712
GO:0046777	96	10	3.51	protein autophosphorylation	0.00268647832250709
GO:0046710	2	2	0.07	GDP metabolic process	0.00133401460935062
GO:0046740	4	2	0.15	transport of virus in host, cell to cell	0.00762006858844965
GO:0006098	35	5	1.28	pentose-phosphate shunt	0.0303718364531683
GO:0006904	20	3	0.73	vesicle docking involved in exocytosis	0.0348857865073314
GO:0006075	22	5	0.8	(1->3)-beta-D-glucan biosynthetic process	0.00101197275853963
GO:0090378	3	2	0.11	seed trichome elongation	0.00390470845900489
GO:0000184	38	4	1.39	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.0489844668783082
GO:0010197	15	3	0.55	polar nucleus fusion	0.0159332428235279
GO:0007163	7	2	0.26	establishment or maintenance of cell polarity	0.0247885065106404
GO:0045337	7	5	0.26	farnesyl diphosphate biosynthetic process	0.000458374243874422
GO:2000033	4	2	0.15	regulation of seed dormancy process	0.00762006858844965
GO:0006749	60	6	2.19	glutathione metabolic process	0.0220125901755223
