Annotated	Significant	Expected	Term	pval
GO:0034976	61	10	2.73	response to endoplasmic reticulum stress	0.00837914878920496
GO:1905037	41	5	1.83	autophagosome organization	0.0112668807257019
GO:0019511	16	5	0.72	peptidyl-proline hydroxylation	0.00147335146393533
GO:0006749	60	11	2.68	glutathione metabolic process	0.000597105993256103
GO:1990170	2	2	0.09	stress response to cadmium ion	0.00199798536949174
GO:0000467	11	3	0.49	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0112372471758415
GO:0071965	2	2	0.09	multicellular organismal locomotion	0.00199798536949174
GO:1904482	6	2	0.27	cellular response to tetrahydrofolate	0.0265757758798819
GO:0010029	26	4	1.16	regulation of seed germination	0.0182077678665753
GO:1905582	14	3	0.63	response to mannose	0.0224324906015099
GO:0000413	117	12	5.23	protein peptidyl-prolyl isomerization	0.00620912794076626
GO:0006896	17	6	0.76	Golgi to vacuole transport	0.00363991054125342
GO:0006897	96	11	4.29	endocytosis	0.00580844744691343
GO:0007080	8	2	0.36	mitotic metaphase plate congression	0.0467479995389597
GO:0070072	5	2	0.22	vacuolar proton-transporting V-type ATPase complex assembly	0.0182543872327525
GO:0022900	617	36	27.59	electron transport chain	0.000566833933072045
GO:2000300	1	1	0.04	regulation of synaptic vesicle exocytosis	0.0447127272727272
GO:0006850	7	2	0.31	mitochondrial pyruvate transmembrane transport	0.0361154590189844
GO:2000306	2	2	0.09	positive regulation of photomorphogenesis	0.00199798536949174
GO:0007010	369	25	16.5	cytoskeleton organization	0.0488493883146646
GO:0006099	84	10	3.76	tricarboxylic acid cycle	0.00423506205711405
GO:0007040	1	1	0.04	lysosome organization	0.0447127272727272
GO:0006886	730	76	32.64	intracellular protein transport	4.45330757093793e-09
GO:0006888	108	11	4.83	endoplasmic reticulum to Golgi vesicle-mediated transport	0.00638486988612466
GO:0007030	43	5	1.92	Golgi organization	0.0418960260936581
GO:0007034	102	14	4.56	vacuolar transport	0.0303367716979196
GO:0090481	31	8	1.39	pyrimidine nucleotide-sugar transmembrane transport	0.0180887715179404
GO:0000956	104	17	4.65	nuclear-transcribed mRNA catabolic process	0.0433410024940144
GO:0006086	13	4	0.58	acetyl-CoA biosynthetic process from pyruvate	0.00205726323995593
GO:0043161	252	23	11.27	proteasome-mediated ubiquitin-dependent protein catabolic process	0.001519248460567
